path,top_level,service,ext,lines,class,review_level,risk_tags,notes
ANILALM/_design/screens/workspace-sidebar.jsx,ANILALM,anilalm,.jsx,143,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/_design/screens/workspace-studio.jsx,ANILALM,anilalm,.jsx,620,frontend-or-node-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/compass_artifact_wf-22acabdb-e956-4dd5-affb-5689127803c6_text_markdown.md,ANILALM,anilalm,.md,85,documentation,context-review,artifact-generation,Used as architecture/process context; not executable runtime surface.
ANILALM/docker/nginx.conf,ANILALM,anilalm,.conf,52,deployment-config,manual-targeted,deploy-surface,Targeted review required when touching this file; flagged by path/size/security/deploy/schema heuristics.
ANILALM/index.html,ANILALM,anilalm,.html,96,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/package-lock.json,ANILALM,anilalm,.json,2346,generated-lockfile,deferred-generated-or-asset,generated-lockfile;giant-file,Generated lockfile: review through dependency/tooling changes.
ANILALM/package.json,ANILALM,anilalm,.json,31,config-or-metadata,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/.dockerignore,ANILALM,pptx-renderer,,5,other,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/.gitignore,ANILALM,pptx-renderer,,16,other,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/Dockerfile,ANILALM,pptx-renderer,,63,deployment-config,manual-targeted,deploy-surface;artifact-generation,Targeted review required when touching this file; flagged by path/size/security/deploy/schema heuristics.
ANILALM/pptx-skill/LICENSE.txt,ANILALM,pptx-renderer,.txt,30,documentation,context-review,artifact-generation,Used as architecture/process context; not executable runtime surface.
ANILALM/pptx-skill/SKILL.md,ANILALM,pptx-renderer,.md,230,documentation,context-review,artifact-generation,Used as architecture/process context; not executable runtime surface.
ANILALM/pptx-skill/editing.md,ANILALM,pptx-renderer,.md,205,documentation,context-review,artifact-generation,Used as architecture/process context; not executable runtime surface.
ANILALM/pptx-skill/icons.js,ANILALM,pptx-renderer,.js,351,frontend-or-node-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/package-lock.json,ANILALM,pptx-renderer,.json,1417,generated-lockfile,deferred-generated-or-asset,artifact-generation;generated-lockfile;giant-file,Generated lockfile: review through dependency/tooling changes.
ANILALM/pptx-skill/package.json,ANILALM,pptx-renderer,.json,14,config-or-metadata,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/pptxgenjs.md,ANILALM,pptx-renderer,.md,437,documentation,context-review,artifact-generation,Used as architecture/process context; not executable runtime surface.
ANILALM/pptx-skill/scripts/__init__.py,ANILALM,pptx-renderer,.py,0,python-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/scripts/add_slide.py,ANILALM,pptx-renderer,.py,195,python-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/scripts/clean.py,ANILALM,pptx-renderer,.py,286,python-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/scripts/office/helpers/__init__.py,ANILALM,pptx-renderer,.py,0,python-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/scripts/office/helpers/merge_runs.py,ANILALM,pptx-renderer,.py,199,python-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/scripts/office/helpers/simplify_redlines.py,ANILALM,pptx-renderer,.py,197,python-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/scripts/office/pack.py,ANILALM,pptx-renderer,.py,159,python-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/dml-chart.xsd,ANILALM,pptx-renderer,.xsd,1499,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema;giant-file,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/dml-chartDrawing.xsd,ANILALM,pptx-renderer,.xsd,146,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/dml-diagram.xsd,ANILALM,pptx-renderer,.xsd,1085,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema;giant-file,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/dml-lockedCanvas.xsd,ANILALM,pptx-renderer,.xsd,11,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/dml-main.xsd,ANILALM,pptx-renderer,.xsd,3081,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema;giant-file,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/dml-picture.xsd,ANILALM,pptx-renderer,.xsd,23,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/dml-spreadsheetDrawing.xsd,ANILALM,pptx-renderer,.xsd,185,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/dml-wordprocessingDrawing.xsd,ANILALM,pptx-renderer,.xsd,287,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/pml.xsd,ANILALM,pptx-renderer,.xsd,1676,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema;giant-file,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/shared-additionalCharacteristics.xsd,ANILALM,pptx-renderer,.xsd,28,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/shared-bibliography.xsd,ANILALM,pptx-renderer,.xsd,144,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/shared-commonSimpleTypes.xsd,ANILALM,pptx-renderer,.xsd,174,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/shared-customXmlDataProperties.xsd,ANILALM,pptx-renderer,.xsd,25,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/shared-customXmlSchemaProperties.xsd,ANILALM,pptx-renderer,.xsd,18,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/shared-documentPropertiesCustom.xsd,ANILALM,pptx-renderer,.xsd,59,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/shared-documentPropertiesExtended.xsd,ANILALM,pptx-renderer,.xsd,56,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/shared-documentPropertiesVariantTypes.xsd,ANILALM,pptx-renderer,.xsd,195,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/shared-math.xsd,ANILALM,pptx-renderer,.xsd,582,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/shared-relationshipReference.xsd,ANILALM,pptx-renderer,.xsd,25,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/sml.xsd,ANILALM,pptx-renderer,.xsd,4439,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema;giant-file,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/vml-main.xsd,ANILALM,pptx-renderer,.xsd,570,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/vml-officeDrawing.xsd,ANILALM,pptx-renderer,.xsd,509,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/vml-presentationDrawing.xsd,ANILALM,pptx-renderer,.xsd,12,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/vml-spreadsheetDrawing.xsd,ANILALM,pptx-renderer,.xsd,108,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/vml-wordprocessingDrawing.xsd,ANILALM,pptx-renderer,.xsd,96,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/wml.xsd,ANILALM,pptx-renderer,.xsd,3646,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema;giant-file,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ISO-IEC29500-4_2016/xml.xsd,ANILALM,pptx-renderer,.xsd,116,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ecma/fouth-edition/opc-contentTypes.xsd,ANILALM,pptx-renderer,.xsd,42,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ecma/fouth-edition/opc-coreProperties.xsd,ANILALM,pptx-renderer,.xsd,50,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ecma/fouth-edition/opc-digSig.xsd,ANILALM,pptx-renderer,.xsd,49,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/ecma/fouth-edition/opc-relationships.xsd,ANILALM,pptx-renderer,.xsd,33,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/mce/mc.xsd,ANILALM,pptx-renderer,.xsd,75,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/microsoft/wml-2010.xsd,ANILALM,pptx-renderer,.xsd,560,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/microsoft/wml-2012.xsd,ANILALM,pptx-renderer,.xsd,67,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/microsoft/wml-2018.xsd,ANILALM,pptx-renderer,.xsd,14,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/microsoft/wml-cex-2018.xsd,ANILALM,pptx-renderer,.xsd,20,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/microsoft/wml-cid-2016.xsd,ANILALM,pptx-renderer,.xsd,13,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/microsoft/wml-sdtdatahash-2020.xsd,ANILALM,pptx-renderer,.xsd,4,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/schemas/microsoft/wml-symex-2015.xsd,ANILALM,pptx-renderer,.xsd,8,vendor-schema,deferred-generated-or-asset,artifact-generation;vendor-schema,Vendor schema: inventory only; validate checksum/source before modifying.
ANILALM/pptx-skill/scripts/office/soffice.py,ANILALM,pptx-renderer,.py,183,python-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/scripts/office/unpack.py,ANILALM,pptx-renderer,.py,132,python-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/scripts/office/validate.py,ANILALM,pptx-renderer,.py,117,python-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/scripts/office/validators/__init__.py,ANILALM,pptx-renderer,.py,15,python-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/scripts/office/validators/base.py,ANILALM,pptx-renderer,.py,851,python-code,manual-targeted,artifact-generation;giant-file,Targeted review required when touching this file; flagged by path/size/security/deploy/schema heuristics.
ANILALM/pptx-skill/scripts/office/validators/docx.py,ANILALM,pptx-renderer,.py,446,python-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/scripts/office/validators/pptx.py,ANILALM,pptx-renderer,.py,275,python-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/scripts/office/validators/redlining.py,ANILALM,pptx-renderer,.py,247,python-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/scripts/thumbnail.py,ANILALM,pptx-renderer,.py,289,python-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/server.js,ANILALM,pptx-renderer,.js,1802,frontend-or-node-code,manual-deep,artifact-generation;giant-file,High-risk entrypoint manually reviewed in 2026-06-29 report.
ANILALM/pptx-skill/tests/test_cover_hero_guard.js,ANILALM,pptx-renderer,.js,120,frontend-or-node-code,manual-targeted,auth-security;artifact-generation,Targeted review required when touching this file; flagged by path/size/security/deploy/schema heuristics.
ANILALM/pptx-skill/tests/test_hierarchy_bullets.js,ANILALM,pptx-renderer,.js,133,frontend-or-node-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/tests/test_image_focus_render.js,ANILALM,pptx-renderer,.js,101,frontend-or-node-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/pptx-skill/tests/test_local_emptiness.js,ANILALM,pptx-renderer,.js,113,frontend-or-node-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/scripts/gen-studio-types.sh,ANILALM,anilalm,.sh,34,script,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/App.tsx,ANILALM,anilalm,.tsx,46,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/api/auth.ts,ANILALM,anilalm,.ts,12,frontend-or-node-code,manual-targeted,auth-security;browser-token,Targeted review required when touching this file; flagged by path/size/security/deploy/schema heuristics.
ANILALM/src/api/chat.ts,ANILALM,anilalm,.ts,147,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/api/client.ts,ANILALM,anilalm,.ts,135,frontend-or-node-code,manual-deep,browser-token,High-risk entrypoint manually reviewed in 2026-06-29 report.
ANILALM/src/api/collections.ts,ANILALM,anilalm,.ts,37,frontend-or-node-code,automated-ledger,rag-rls,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/api/conversations.ts,ANILALM,anilalm,.ts,79,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/api/documents.ts,ANILALM,anilalm,.ts,67,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/api/jobs.ts,ANILALM,anilalm,.ts,43,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/api/search.ts,ANILALM,anilalm,.ts,50,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/api/studio-types.gen.ts,ANILALM,anilalm,.ts,1548,frontend-or-node-code,manual-targeted,artifact-generation;giant-file,Targeted review required when touching this file; flagged by path/size/security/deploy/schema heuristics.
ANILALM/src/api/studio.ts,ANILALM,anilalm,.ts,561,frontend-or-node-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/components/ErrorBoundary.tsx,ANILALM,anilalm,.tsx,130,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/components/Field.tsx,ANILALM,anilalm,.tsx,51,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/components/Icon.tsx,ANILALM,anilalm,.tsx,238,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/components/MarkdownPreview.tsx,ANILALM,anilalm,.tsx,147,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/components/Modal.tsx,ANILALM,anilalm,.tsx,105,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/components/Spinner.tsx,ANILALM,anilalm,.tsx,24,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/components/ThemeSwitch.tsx,ANILALM,anilalm,.tsx,29,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/main.tsx,ANILALM,anilalm,.tsx,12,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/routes/DashboardPage.tsx,ANILALM,anilalm,.tsx,803,frontend-or-node-code,manual-targeted,giant-file,Targeted review required when touching this file; flagged by path/size/security/deploy/schema heuristics.
ANILALM/src/routes/LoginPage.tsx,ANILALM,anilalm,.tsx,423,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/routes/ProtectedRoute.tsx,ANILALM,anilalm,.tsx,30,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/routes/WorkspacePage.tsx,ANILALM,anilalm,.tsx,204,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/store/artifacts.ts,ANILALM,anilalm,.ts,100,frontend-or-node-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/store/auth.ts,ANILALM,anilalm,.ts,121,frontend-or-node-code,manual-deep,auth-security;browser-token,High-risk entrypoint manually reviewed in 2026-06-29 report.
ANILALM/src/store/workspace.ts,ANILALM,anilalm,.ts,106,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/studio/generators.ts,ANILALM,anilalm,.ts,475,frontend-or-node-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/studio/themeMapping.ts,ANILALM,anilalm,.ts,55,frontend-or-node-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/studio/themes.ts,ANILALM,anilalm,.ts,86,frontend-or-node-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/theme/ThemeContext.tsx,ANILALM,anilalm,.tsx,56,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/theme/tokens.ts,ANILALM,anilalm,.ts,70,frontend-or-node-code,manual-targeted,auth-security,Targeted review required when touching this file; flagged by path/size/security/deploy/schema heuristics.
ANILALM/src/types.ts,ANILALM,anilalm,.ts,221,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/utils/format.ts,ANILALM,anilalm,.ts,51,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/vite-env.d.ts,ANILALM,anilalm,.ts,12,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/workspace/ArtifactViewer.tsx,ANILALM,anilalm,.tsx,466,frontend-or-node-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/workspace/CommandModal.tsx,ANILALM,anilalm,.tsx,717,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/workspace/StudioWizard.tsx,ANILALM,anilalm,.tsx,352,frontend-or-node-code,automated-ledger,artifact-generation,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/workspace/ThemePicker.tsx,ANILALM,anilalm,.tsx,132,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/workspace/WSChat.tsx,ANILALM,anilalm,.tsx,893,frontend-or-node-code,manual-targeted,giant-file,Targeted review required when touching this file; flagged by path/size/security/deploy/schema heuristics.
ANILALM/src/workspace/WSSidebar.tsx,ANILALM,anilalm,.tsx,750,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/src/workspace/WSStudio.tsx,ANILALM,anilalm,.tsx,871,frontend-or-node-code,manual-targeted,artifact-generation;giant-file,Targeted review required when touching this file; flagged by path/size/security/deploy/schema heuristics.
ANILALM/src/workspace/useJobStream.ts,ANILALM,anilalm,.ts,52,frontend-or-node-code,automated-ledger,router-streaming,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/tsconfig.app.json,ANILALM,anilalm,.json,24,config-or-metadata,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/tsconfig.json,ANILALM,anilalm,.json,7,config-or-metadata,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/tsconfig.node.json,ANILALM,anilalm,.json,14,config-or-metadata,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/vite.config.ts,ANILALM,anilalm,.ts,43,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILA_UI/ANILA — Feature Showcase (Print).pdf,ANILA_UI,anila-ui-archive-or-doc,.pdf,-1,binary-asset,deferred-generated-or-asset,binary-asset,Binary/artifact: inventory only; not line-reviewed.
